type,activity,sex_,injury,fatal_(y/n),species_
Invalid,"Yacht Gooney Bird foundered, 4 survivors on raft",,"No injury, no attack; sharks ate their food tied to a line over the side of the raft",,Invalid
Invalid,Spearfishing ,M,FATAL,Y,
Provoked,Tagging sharks,M,"No injury to occupant, hooked shark rammed & bit boat PROVOKED INCIDENT",N,white shark
Unprovoked,Standing / fishing,M,"FATAL, leg severed ",Y,
Boat,canoeing,,"No injury to occupant, canoe struck several times by shark ",N,
Sea Disaster,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),,"7 rescued, 7 bodies recovered, 10 missing. Many sharks in crash area.",Y,
Invalid,Attempting to swim across the Atlantic Ocean,F,"Disappeared, probable drowning but sharks in area led to speculation that she was taken by a shark",,Shark involvement prior to death was not confirmed
Boat,Fishing,,"No injury to occupants, shark crashed through windshield of boat",N,2.1 m [7'] shark
Boat,Fishing,M,"No injury to occupant, shark lifted canoe's outrigger",N,2.4 m [8'] shark
Unprovoked,Spearfishing,M,Buttocks bitten,N,
Invalid,Swimming,M,"Skeletonized, except for head & feet. Possibly a drowning / scavenging",,Shark involvement prior to death was not confirmed
Unprovoked,Standing,M,No injury,N,Lemon shark 
Unprovoked,Spearfishing,M,"FATAL, buttocks, lower abdomen & genitalia removed  ",Y,Tiger shark
Unprovoked,Skin diving,M,"FATAL, torso / abdomen severely bitten  ",Y,1.8 m [6'] shark
Unprovoked,Fishing,M,FATAL,Y,
Unprovoked,Surfing,M,Left thigh lacerated,N,1.8 m [6'] shark
Sea Disaster,"Canoe capsized with 10 occupants, 8 survived,  Hamilton swam off to seek help",M,Presumed FATAL,Y,
Unprovoked,Skin diving ,M,"Minor injury, abdomen abraded when he collided with the shark",N,1.7 m [5.5'] shark
Unprovoked,Free diving for shell,M,Thigh & hand bitten,N,3 m shark
Provoked,Fishing,,Hooked shark bit boat PROVOKED INCIDENT,N,"Tiger shark, 3.5 m, 250-lb female"
Unprovoked,Diving for trochus shell,M,"FATAL, foot & part of other leg severed  ",Y,
Unprovoked,Spearfishing,M,"FATAL, thigh and abdomen bitten ",Y,
Unprovoked,preparing to go skin diving,M,Hand lacerated,N,
Unprovoked,Spearfishing,M,"No injury to diver, shark bit speargun",N,"White shark, 3 m [10'] "
Unprovoked,Body boarding,M,Right ankle lacerated,N,"White shark, 1.5 m [5'] k"
Unprovoked,Lying in 2 feet of water,M,Right leg & shoulder lacerated,N,"""sand shark"""
Unprovoked,Swimming,M,"FATAL, both legs bitten & right leg severed at knee ",Y,"White shark, 3 m to 3.7 m [10' to 12'] "
Invalid,Swimming,M,Body not recovered  / May have drowned prior to shark involvement,,Shark involvement prior to death was not confirmed
Boat,Rowing,,"No injury to occupants , shark nudged oars",N,1.8 m [6'] shark
Unprovoked,Floating,M,No injury,N,Hammerhead shark
Unprovoked,Swimming,M,"FATAL, right arm & left thigh bitten ",Y,
Unprovoked,Spearfishing,,FATAL,Y,
Unprovoked,Body surfing,M,Heel & ankle bitten,N,
Unprovoked,Standing,M,Heel bitten,N,
Boat,Shark watching,,"No injury to occupants, shark holed  boat",N,"White shark, 3.6 m [11'9""] "
Unprovoked,Freediving,M,Arm lacerated,N,Wobbegong
Unprovoked,Spearfishing / Scuba diving (at surface),M,Leg & thigh bitten,N,White shark (tooth fragment recovered)
Unprovoked,Fishing,M,FATAL,Y,Tiger shark
Unprovoked,Swimming,F,Deep lacerations to her right thigh,N,
Unprovoked,,,,UNKNOWN,
Unprovoked,Diving for sinkers,M,Lacerations and puncture wounds in right arm ,N,2.1 m to 2.4 m  [7' to 8'] shark
Invalid,Snorkeling,M,No injury,,Invalid
Unprovoked,Standing,F,"Right hand & foot severed, thigh & buttock lacerated",N,"Zambesi shark, 1.8 m [6'] "
Unprovoked,Swimming ,M,"Lower leg bitten & foot severed, leg surgically amputated below knee",N,1.8 m [6']  shark
Unprovoked,Sitting on gunwale of boat,M,"No injury, shark's tail struck his armpit",N,"4.3 m [14'], 1000-lb shark"
Unprovoked,Swimming,M,"FATAL, shoulders, arms, abdomen & foot bitten  ",Y,
Invalid,"Greek steamship Lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished",F,"One woman reported to have suffered fish bites, but cause of her death was exposure & drowning""",,Invalid
Provoked,Helping friend land hooked shark,M,Foot lacerated  PROVOKED INCIDENT,N,"Dusky shark, 1 m "
Provoked,Fishing,M,7 puncture wounds in right forearm from hooked shark PROVOKED INCIDENT,N,"Wobbegong shark, 3' "
Unprovoked,Spearfishing,M,Foot lacerated,N,"White shark, 1.7 m [5.5']"
Unprovoked,Splashing in surf,M,"FATAL, arm severed, leg bitten",Y,300- to 400-lb Zambesi shark
Unprovoked,Spearfishing,M,Torso & hand lacerated,N,White shark
Unprovoked,Spearfishing,M,"FATAL, leg severely bitten",Y,Tiger shark
Unprovoked,Treading water while alongside capsized yacht,M,Hand & lower leg severely injured,N,Possibly a broadnose 7-gill shark
Provoked,Fishing / standing in waist deep water,F,Left arm lacerated  PROVOKED INCIDENT,N,Tiger shark
Unprovoked,Fishing,F,Elbow bitten,N,>1.2 m [4'] tiger shark
Unprovoked,Spearing fish,M,Ankle & foot bitten,N,
Unprovoked,Spearfishing,M,No injury,N,
Provoked,Catching sharks under government contract,M,"No injury to occupant, netted shark rammed & bit boat PROVOKED INCIDENT",N,"White shark, 15'2"" "
Provoked,Testing anti-shark cage,M,No injury PROVOKED INCIDENT,N,"Silky shark, 1.9 m [6.5']"
Unprovoked,Wading,M,Thigh lacerated ,N,6' shark
Unprovoked,Fishing,M,Left calf lacerated,N,Dooley believed his Injury was caused by stingray (Dasyatidae family)
Unprovoked,"Surf fishing, wading ",M,"Right thigh &  foot bruised, right calf  lacerated",N,500-lb shark
Provoked,Fishing for sharks,M,"Right hand lacerated, PROVOKED INCIDENT",N,
Unprovoked,Spearfishing / free diving,M,FATAL,Y,"White shark, 4 m [13'] rk"
Invalid,"Commercial fishing vessel, Ev-nn, struck object & sank. Ken Crosby and  Jame & Ann Dumas adrift on makeshift raft.",,Numerous dusky sharks & a 3 m to 4.6 m [10' to 15']  tiger sharks tried to overturn raft and one took Mrs. Dumas' body; scavenging by shark/s,,Invalid
Unprovoked,Spearing fish,M,"FATAL, right thigh, calf & foot bitten ",Y,5.5 m [18'] shark
Provoked,Surfing,M,"A ""dead"" shark grabbed by the tail bit his right torso PROVOKED INCIDENT",N,1.5 m [5'] shark
Provoked,"Spearfishing, pulled sharks tail",M,Minor injury to left forearm  PROVOKED INCIDENT,N,"Nurse shark, 1.2 m [4'] "
Unprovoked,"Swimming, when caught in heavy seas",M,"FATAL. Eyewitness said, ""One was thrown in the air like a basketball, and while in the air another shark took a bite out of his belly."" ",Y,8 sharks
Unprovoked,Spearfishing,M,Upper left arm bitten,N,Tiger shark
Unprovoked,Bathing,M,"Left forearm bitten, surgically amputated?",N,
Provoked,"Fishing, on charter boat Silver Dollar",M,"Cuts on right hand, PROVOKED INCIDENT",N,1.2 m [4'] shark
Sea Disaster,63' fishing boat Sno' Bay foundered,,No survivors & a body sighted could not be recovered because of sharks,Y,
Unprovoked,"Seining for bait, standing in chest-deep water",M,"FATAL, foot nearly severed ",Y,
Unprovoked,Swimming,F,FATAL,Y,"White shark, 3 m "
Provoked,Fishing,M,"Hooked shark bit his nose, arm and leg PROVOKED INCIDENT",N,1.8 m [6'] shark
Invalid,Swimming,M,3 lacerations below right knee,,Shark involvement not confirmed
Sea Disaster,"Boat, with 42 passengers onboard, capsized in rough seas",,"Of the 42 people on board, 5 died of exposure, others drowned or were taken by sharks, and survivors were rescued after spending 3 days in the water.",Y,
Provoked,Fishing,M,Foot lacerated by netted shark PROVOKED INCIDENT,N,Grey nurse shark
Unprovoked,Swimming,M,"FATAL, hand severed, shoulder, hip, foot, thigh bitten & femoral artery severed  ",Y,"Hand found in gut of 2.9 m to 3.3 m [9'7"" to 10'11""] Galapagos shark, C. galapagensis"
Unprovoked,Swimming,M,Buttock bitten,N,
Unprovoked,"Surfing on ""chest board"" (boogie board?)",M,Arm bitten,N,1.8 m to 2.4 m  [6' to 8'] shark
Unprovoked,Surfing ,M,Left foot & leg bitten,N,3.7 to 4.5 m [12' to 15'] shark seen in vicinity
Invalid,Washed into sea while picking opihi,M,"May have drowned prior to shark involvement, partial remains recovered",,Shark involvement prior to death was not confirmed
Sea Disaster,The 500-ton coastal trader Polurrian foundered ,M,FATAL,Y,
Unprovoked,Swimming,M,Right shoulder bitten,N,
Unprovoked,Spearfishing,M,Left leg lacerated,N,"Bronze whaler shark, 3 m [10'] "
Unprovoked,Spearfishing,M,Left arm bitten,N,"White shark, 2.1 m [7'] "
Unprovoked,,M,Laceration to right forearm,N,
Invalid,"S.S. Marine Sulphur Queen, laden with molten sulphur was bound from Beaumont, Texas for Norfolk, VA, when she disappeared with 39 on board",M,Two shark-bitten lifejackets were recovered leading to speculation that sharks took at least 2 of the 39 missing crewmen,,Shark involvement prior to death was not confirmed
Unprovoked,Freediving,M,Hand & arm severely lacerated,N,
Unprovoked,Wading,F,"FATAL, right femoral artery severed, thigh, calf, buttock & left hand bitten  ",Y,"Tooth fragments of whaler shark were recovered, a bull shark, according to Edwards"
Invalid,Swimming,M,"9' shark in area when he disappeared, body not recovered",,Shark involvement prior to death was not confirmed
Boat,Fishing ,,"No injury to occupant, shark leapt inside boat",N,193-lb shark
Provoked,Fishing,,Minor lacerations to hand and arm after he seized the shark's tail PROVOKED INCIDENT,N,"Grey nurse shark, 1.8 m [6'] "
Provoked,Fishing,M,Foot bitten by shark hooked & taken on boat  PROVOKED INCIDENT,N,<1.5 m shark
Unprovoked,"Free diving, hunting crayfish",M,Lacerations & punctures on left  forearm,N,1 m shark
Unprovoked,Spearfishing,M,Lacerations to right  arm,N,"Zambesi shark, 2 m [6'9""] "
Provoked,Shark fishing,,No injury to occupants; hooked shark slammed into side of boat PROVOKED INCIDENT,N,"White shark, 16', 2,312-lb "
Boat,,,"No injury to occupant. Shark tore chunk from canoe, then bumped 2 other canoes",N,Zambesi shark
Unprovoked,,,No details,UNKNOWN,
Unprovoked,Fishing for turtles,M,Fatal,Y,
Provoked,Scuba diving,M,Captive shark bit air hose & minor lacerations on diver's cheek PROVOKED INCIDENT,N,"Dusky shark, 1 m "
Unprovoked,Spearfishing,M,"FATAL, right leg bitten thigh to calf  ",Y,"White shark, 4.3 m [14'] (or bronze whaler)"
Boat,Fishing,,"No injury to occupants, shark jumped onboard, knocking 2 anglers onto the deck",N,"2 m [6'9""], 87.5-kg [193-lb]  shark"
Unprovoked,"Spearfishing, Scuba diving",M,"No injury, shark bit spear & dragged diver 90'",N,3 m [10'] shark
Invalid,,M,"Skeletonized, except for head & feet. Possible drowning / scavenging",,Shark involvement prior to death was not confirmed
Unprovoked,Spearfishing / Scuba diving (at surface),M,"Arm, hand, buttock, leg and thigh bitten",N,"White shark, 4.3 m to 4.9m [14' to 16']"
Boat,Fishing,,No injury to occupants. Shark rammed boat as they were pulling in a flathead,N,3 m [10'] blue whaler
Sea Disaster,Abandoning burning ship Captain George in raging seas,M,"No injury, shark bit his boot",N,
Unprovoked,Spearfishing,M,Arm lacerated (minor injury),N,
Unprovoked,Wading,M,"FATAL, both legs bitten  ",Y,2.7 m [9'] shark
Unprovoked,,M,Facial lacerations,N,
Boat,Adrift after wave swamped engine,M,"No injury to occupant, shark ""nibbled"" at boat",N,Grey nurse shark
Invalid,"Overcome by CO fumes, fell overboard from 36' fishing cruiser & prop slashed arm",F,Drowned due to CO2 poisoning - Post Mortem scavanging by blue shark,,Shark involvement prior to death was not confirmed
Unprovoked,Sitting in shallows,M,"FATAL, body not recovered",Y,
Unprovoked,Spearfishing,M,Left thigh & hand & speargun bitten,N," Blacktip shark, C. maculipinnis. 1.9 m to 2.1 m [6.5' to 7'] "
Unprovoked,Swimming,M,"Left arm severely bitten, surgically amputated",N,
Unprovoked,"When  a deckhand  jumped overboard, McIver dived after him with a rescue line.",M,"FATAL, he died within minutes of being hauled back onboard the Stirling Castle",Y,
Unprovoked,Spearfishing with Scuba gear,M,"FATAL, multiple injuries to both legs  ",Y,White shark
Provoked,Fishing,M,"Details unknown, possibly a PROVOKED INCIDENT",UNKNOWN,2.5 m [8.25'] shark
Boat,,M,No injury ,N,
Provoked,Fishing,M,Posterior lower left leg lacerated by netted shark PROVOKED INCIDENT,N,"""A long thin brown-colored shark"""
Provoked,Diving for abalone,M,"Struck shark with abalone bar to scare it away from abalone, but shark bit his shoulder  PROVOKED INCIDENT",N,"Horn shar,k Heterodontus francisci, 1.2 m [4'] "
Boat,,,"No injury to occupants, sharks tore Max Butcher's life jacket & pants",N,
Boat,Fishing,,"No injury to occupants, shark hit boat, lifting it from the water, bit & dented propeller",N,4.3 m [14'] shark
Unprovoked,Surf fishing in waist-deep water,M,"FATAL, lower right leg bitten",Y,Unknown
Unprovoked,Standing,M,Left thigh & hand bitten,N,1.8 m [6'] shark
Unprovoked,Spearfishing,M,"FATAL, right thigh severely bitten, right ankle lacerated ",Y,
Unprovoked,Diving,M,No injury,N,White shark
Unprovoked,Beach seine netting,M,Ankle bitten,N,3.5 m shark
Unprovoked,Standing,M,Lacerations on left foot & hand,N,1.8 m to 2.4 m [6' to 8'] shark
Provoked,Finning the shark,M,Right calf lacerated by boated shark PROVOKED INCIDENT,N,"2 m [6'9""] shark"
Provoked,Fishing for albacore,M,"2 lacerations on left hand by hooked shark, PROVOKED INCIDENT",N,Blue shark
Unprovoked,Playing in surf with his child  (9),M,"Cuts on fingers, hand & wrist",N,
Unprovoked,Dived from inner-tube,M,Laceration on hand,N,
Invalid,,,No injury,,Questionable incident
Invalid,U.S. Airforce crewman reported missing after bailing out of jet,M,FATAL,,Shark involvement not confirmed
Boat,"On a ""shark hunt""",,"No injury to occupants, shark charged boat, then 2 more sharks hit boat, oar grabbed, boat finally drifted ashore at 02h00",N,2.7 m to 3 m [9' to 10'] sharks
Unprovoked,Rolled off raft,M,"8"" laceration on left calf",N,1.8 m [6'] shark
Unprovoked,Escaping from Alacatraz,M,2 toes bitten off ,N,
Unprovoked,Escaping from Alacatraz,M,"FATAL, but shark involvement uncomfirmed. Death may have been due to drowning.",Y,
Unprovoked,Escaping from Alacatraz,M,"FATAL, but shark involvement uncomfirmed. Death may have been due to drowning.",Y,
Unprovoked,Washing,M,"FATAL, chest & leg bitten ",Y,Possibly a bronze whaler shark
Unprovoked,Standing,M,Thigh bitten,N,
Boat,Fishing,,"No injury to occupant, shark grabbed anchor rope, pulling bow of boat downward & then bit bow of boat",N,
Provoked,"Scuba diving, attempting to catch a captive shark",M,Right forearm bitten PROVOKED INCIDENT,N," Sevengill  shark, 1.2 m [4'] "
Unprovoked,Free diving,M,Left foot bitten,N,
Unprovoked,,M,Bitten on leg or ankle,N,
Sea Disaster,25-foot cabin cruiser Happy Jack sank in heavy seas,,Bodies of 5 of the 6 men on board were bitten by by sharks. Sharks may have contributed to the death of some of them.,Y,
Boat,Fishing,,"No injury, sharks rammed boat and bit outboard motor",N,
Provoked,Fishing,,"No injury to occupants, hooked shark cracked hull PROVOKED INCIDENT",N,"Bronze whaler shark, 3.7 m [12'] "
Unprovoked,Swimming,M,"Leg bitten, surgically amputated at knee",N,
Unprovoked,Wading,M,Left ankle & foot bitten,N,"Zambesi shark, 1.2 m [4'] "
Provoked,Fishing,,Hooked shark bit boat PROVOKED INCIDENT,N,4.9 m [16']shark
Provoked,,M,Left foot bitten by hooked shark PROVOKED INCIDENT,N,1.8 m [6'] shark 
Boat,Fishing & spearfishing,,No injury to occupants. Shark holed boat & they swam 200 yards to shore,N,"Bronze whaler shark, 4.6 m [15'] "
Unprovoked,Swimming,M,"FATAL, calf bitten, other leg severed below knee",Y,Possibly a bronze whaler shark
Unprovoked,Swimming along a row of nets,M,Torso lacerated,N,1.2 m  [4'] shark
Provoked,Swimming,M,"Mistook shark's tail for kelp & grabbed it, legs abraded by shark's fins PROVOKED INCIDENT",N,1.8 m [6'] shark
Unprovoked,Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it,M,Middle finger of right hand lacerated,N,3.7 m [12'] shark
Unprovoked,Swimming,M,"FATAL, calf bitten twice",Y,
Unprovoked,Treading water,M,"FATAL, tissue removed from thigh, femoral artery severed ",Y,"White shark, 3 m "
Unprovoked,Swimming,M,Shin bitten,N,60 cm  shark 
Boat,Fishing,,,UNKNOWN,
Unprovoked,Swimming outside fishing net,M,"FATAL, shoulder & thigh bitten ",Y,
Unprovoked,Splashing ,M,"Left hand injured: gash on back of hand, toothmarks on palm",N,1.5 m [5'] shark
Unprovoked,,M,,UNKNOWN,
Provoked,Spearfishing,M,Suffered from shock & immersion after being dragged underwater  by speared shark PROVOKED INCIDENT,N,"Bronze whaler shark,  3m [10'] "
Invalid,"Fishing, slipped on rocks & fell into sea",M,Possible drowning / post mortem scavenging by Zambesi shark,,Shark involvement prior to death was not confirmed
Provoked,Fishing,,"No injury to occupants, hooked shark attacked boat PROVOKED INCIDENT",N,"Said to involve a 4.9 m [16'] ""red shark"""
Unprovoked,Spearfishing,M,Shark struck him on shoulder injuring skin under suit,N,
Unprovoked,Spearfishing / Scuba diving (at surface),M,Buttock bitten & major leg wound,N,"White shark, 4 m [13'] "
Provoked,Spearfishing,,Speared shark bit gunwale of boat as it was being hauled onboard PROVOKED INCIDENT,N," Grey nurse shark,  3 m [10'] "
Unprovoked,Surfing,M,Dorsum of foot lacerated & toe severed,N,"Bronze whaler shark, 2.1 m [7'] shark"
Boat,Fishing,,"No injury to occupant, shark bit propeller & lifted boat several feet",N,Said to involve a Grey nurse shark 3.7 m [12'] 
Unprovoked,Spearfishing,M,Left leg & buttocks bitten,N,White shark
Unprovoked,Surf fishing,F,Right foot lacerated ,N,"36""  shark"
Boat,Fishing for sharks,,No injury to fisherman Alf Dean & other occupants; shark bit stern of boat,N,White shark
Invalid,Swimming,M,"Remains recovered from 10' shark, but shark involvement prior to death unconfirmed",,Shark involvement prior to death was not confirmed
Provoked,Rowing,,"No injury to occupants, shark bit 3"" piece from oar after they accidentally struck the shark PROVOKED INCIDENT",N,
Unprovoked,Surfing,,"No injury, shark bumped board flipping him into the water",N,
Boat,Fishing,,Shark rammed boat 5 times & holed it,N,
